Survey_Priority_ID,Order,Region,WMU,Budget,YearsSinceRevised,RevisedYearLast,TargetYrs,YearProjectedtobeFlown,EOMSD,2019_Priority,Comments,WMUlist.x,AMBI,BISH,MOGO,MOOS,MUDE,PRON,WAPT,WTDE,SL_num,Drawnum,speciesNum,quota,applicants,drawn,minPriority,maxPriority,medPriority,muPriority,drw_cde_list,spp_list,WMUlist.y,GL.Season_Cnt,SL.SeasonCnt,M_Biomass,F_Biomass,YOY_Biomass,Spplist,TotalKill,Total_Biomass,LicenceCount,WMUlist,IntervalFactor
1,137,SSR,102,30,5,2019,5,2024,OPS,,,102,,,,,1,,,,2,2,1,525,800,403,0,2,0,0,13|14,MUDE,102,2,2,8285.587011,3073.002587,465,MUDE,139.5712878,11823.5896,10,102,5
2,10,SSR,104,16,16,2008,5,2020,OPS,,,104,,,,,1,,,1,3,3,2,340,644,331,0,4,0,0,13|14|16,MUDE|WTDE,104,4,3,15513.8358,7531.616107,0,MUDE|WTDE,270.8980505,23045.4519,8,104,5
3,11,SSR,106,25,3,2021,5,2020,OPS,,Includes 112,106|112,,,,,1,,,,4,2,1,219,1110,219,0,7,0,0,13|14,MUDE,106|112,4,4,9298.501524,6554.280488,130.952381,MUDE,193.8924942,15983.73439,6,106|112,5
4,138,SSR,108,30,6,2018,5,2024,OPS,,,108,,,,,1,,1,1,11,5,3,1662,5290,1664,0,12,0,0,13|14|18|19|16,MUDE|WAPT|WTDE,108,4,3,74278.62006,38670.58296,4456.755828,MUDE|WTDE,1415.349035,117405.9588,8,108,5
5,48,SSR,110,20,10,2014,5,2020,OPS,3,,110,,,,,1,,,1,3,3,2,1229,2139,1229,0,3,0,0,13|14|16,MUDE|WTDE,110,4,3,46237.01619,35474.3486,3024.902051,MUDE|WTDE,1048.480061,84736.26684,5,110,5
6,46,SSR,118,15,10,2014,5,2020,OPS,,,118,,,,,1,,,1,3,3,2,1146,1343,811,0,2,0,0,13|14|16,MUDE|WTDE,118,4,3,24664.06493,10497.4192,887.8571429,MUDE|WTDE,425.7277248,36049.34128,5,118,5
7,19,SSR,119,15,3,2021,5,2020,OPS,,,119,,,,,1,,,,2,2,1,286,1074,286,0,3,0,0,13|14,MUDE,119,2,2,6247.534464,6306.6033,595.2941176,MUDE,166.6813829,13149.43188,5,119,5
8,28,SSR,124,10,14,2010,7,2020,OPS,,,124,,,,,1,1,,,2,2,1,195,548,195,0,3,0,0,13|14,MUDE,124,2,2,4598.33245,3446.896552,159.3103448,MUDE,100.5414305,8204.539346,7,124,7
9,115,SSR,132,19.5,5,2019,5,2024,OPS,,,132,,,,,1,,,,2,2,1,76,871,76,2,7,2,2,13|14,MUDE,132,2,2,2760.9375,2755.04065,99.52380952,MUDE,70.22974739,5615.50196,5,132,5
10,158,SSR,136,19.5,5,2019,7,2024,OPS,,,136,,,,,1,,,1,3,3,2,258,719,258,0,4,0,0,13|14|16,MUDE|WTDE,136,4,3,12820.03141,5704.777306,445.3075292,MUDE|WTDE,224.5410182,18970.11624,3,136,7
